#,Họ/Tập đoàn,Mã niêm yết,Ghi chú
1,Họ Vingroup,"VIC, VHM, VRE","BĐS, thương mại, công nghiệp – tập đoàn của ông Phạm Nhật Vượng"
2,Họ Masan,"MSN, MML, MSR, VCF,VSN, NET, TCB, TCX",Tiêu dùng – bán lẻ – thực phẩm
3,Họ FPT,"FPT, FRT, FTS, FOX, FOC","Công nghệ, viễn thông, giáo dục"
4,Họ Viettel,"VGI, CTR, VTP, VTK","Viễn thông, logistics, hạ tầng số"
5,Họ VnDirect / IPA,"VND, SHS, IPA, PVI","Tài chính, chứng khoán, đầu tư"
6,Họ PAN Group,"PAN, APF, DAT, HAF, SPV, CAN, CET, FCC",Tài chính và nông nghiệp – thực phẩm
7,Họ Đất Xanh,"DXG, DGX",BĐS & môi giới
8,Họ BIDV,"BID, BIC, BSI",Ngân hàng & bảo hiểm
9,Họ MB (Quân đội),"MBB, MBS","Ngân hàng, chứng khoán"
10,Họ Vietjet,"VJC, HDB",Hàng không & logistics – liên kết với bà Nguyễn Thị Phương Thảo
11,Họ BCG (Bamboo Capital),"BCG,TCD","Năng lượng tái tạo, BĐS"
12,Họ FLC (đã giải thể phần lớn),"FLC, ART, AMD, HAI, KLF","BĐS, nông nghiệp – đã sụp đổ phần lớn sau 2022"
13,Họ Louis Holdings,"BII,VKC, TGG",Thực phẩm – đầu tư – nhóm 'Louis'
14,Họ KIDO,"KDC, VOC","Thực phẩm, dầu ăn, nước giải khát"
15,Họ Vinamilk,"VNM, MCM, VLC",Sữa và đồ uống
16,Họ Petrolimex,"PLX, PGC, PLC, PEQ, PTX, PTS, PTH, PSC, PLE, PJT, PJC, PIT, PIA, PGI, PEN, PCC","Nhiên liệu, logistics, vận tải, bảo hiểm, xây dựng, viễn thông"
17,Họ PVN (Dầu khí),"BSR, PVS, GAS, PVB, PVS, OIL, PVD, PVE, PVC, PVT, POW, NT2","Dầu khí – năng lượng – logistics"
18,Họ Sonadezi,"SZL, SZG, SZE, SZC, SZB, SDV","BĐS, khu công nghiệp, dịch vụ môi trường"
19,Họ Sông Đà,"XLV, VCW, THS, STP, STL, SJM, SJG, SJE, SJC, SIG, SDY, SDU, SDT, SDD, SDC, SDB, SDA, SD9, SD8, SD7, SD6, SD5, SD4, SD3, SD2, SD1, SCL, S96, S74, S72, S55, S12, MEC","Xây dựng, thủy điện, cơ khí, tư vấn"
20,Họ HUD,"VHD, HU6, HU4, HU3, HU1, HLD, HD8, HD2, H11","BĐS, xây dựng, phát triển nhà và đô thị"
21,Họ Lilama,"LO5, LM8, LM7, LM3, L63, L62, L61, L45, L44, L43, L35, L10","Xây dựng, cơ khí, lắp máy, công nghiệp nặng"
22,Họ Cao su,"VRG, TRC, TNC, SRC, SBR, RTB, RCD, RBC, PHR, MH3, IRC, HRC, GVR, DRI, DRG, DRC, DPR, CSM, CDR, BRR, BRC","Cao su, hóa chất, ô tô, BĐS, xây dựng"
23,Họ VNECO,"VES, VE9, VE8, VE4, VE3, VE2, VE1, SSM, E12","Xây dựng điện, BĐS, kim loại"
